DEBUG | 2023-02-05 15:31:34,098 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:44:01,974 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:44:02,188 | connectionpool.py | https://huggingface.co:443 "HEAD /microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
DEBUG | 2023-02-05 15:44:02,229 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 15:44:02,431 | connectionpool.py | https://huggingface.co:443 "HEAD /microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
INFO | 2023-02-05 15:44:02,616 | embedding.py | Loading a model trained before embedding extension was implemented; pass an explicit vocab namespace if you want to extend the vocabulary.
INFO | 2023-02-05 15:44:02,617 | embedding.py | Loading a model trained before embedding extension was implemented; pass an explicit vocab namespace if you want to extend the vocabulary.
INFO | 2023-02-05 15:44:02,617 | embedding.py | Loading a model trained before embedding extension was implemented; pass an explicit vocab namespace if you want to extend the vocabulary.
DEBUG | 2023-02-05 15:44:03,288 | local.py | open file: /home/tongnian/.cache/huggingface/metrics/bleu/default/default_experiment-1-0.arrow
DEBUG | 2023-02-05 15:44:03,292 | local.py | open file: /home/tongnian/.cache/huggingface/metrics/rouge/default/default_experiment-1-0.arrow
INFO | 2023-02-05 16:05:29,464 | rouge_scorer.py | Using default tokenizer.
DEBUG | 2023-02-05 16:17:58,431 | connectionpool.py | Starting new HTTPS connection (1): s3.amazonaws.com:443
DEBUG | 2023-02-05 16:17:58,641 | connectionpool.py | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/metrics/evaluate-metric/bleu/evaluate-metric/bleu.py HTTP/1.1" 404 0
DEBUG | 2023-02-05 16:17:58,646 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 16:17:58,850 | connectionpool.py | https://huggingface.co:443 "HEAD /spaces/evaluate-metric/bleu/resolve/v0.4.0/bleu.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 16:17:58,865 | connectionpool.py | Starting new HTTPS connection (1): github.com:443
DEBUG | 2023-02-05 16:17:59,101 | connectionpool.py | https://github.com:443 "HEAD /tensorflow/nmt/raw/master/nmt/scripts/bleu.py HTTP/1.1" 302 0
DEBUG | 2023-02-05 16:17:59,103 | connectionpool.py | Starting new HTTPS connection (1): raw.githubusercontent.com:443
DEBUG | 2023-02-05 16:17:59,266 | connectionpool.py | https://raw.githubusercontent.com:443 "HEAD /tensorflow/nmt/master/nmt/scripts/bleu.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 16:17:59,276 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 16:17:59,479 | connectionpool.py | https://huggingface.co:443 "HEAD /spaces/evaluate-metric/bleu/resolve/v0.4.0/tokenizer_13a.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 16:17:59,488 | connectionpool.py | Starting new HTTPS connection (1): s3.amazonaws.com:443
DEBUG | 2023-02-05 16:17:59,703 | connectionpool.py | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/metrics/evaluate-metric/rouge/evaluate-metric/rouge.py HTTP/1.1" 404 0
DEBUG | 2023-02-05 16:17:59,706 | connectionpool.py | Starting new HTTPS connection (1): huggingface.co:443
DEBUG | 2023-02-05 16:17:59,905 | connectionpool.py | https://huggingface.co:443 "HEAD /spaces/evaluate-metric/rouge/resolve/v0.4.0/rouge.py HTTP/1.1" 200 0
DEBUG | 2023-02-05 16:18:02,525 | _api.py | Attempting to acquire lock 140229723228816 on /tmp/tmpmnaidy46/vocabulary/.lock
DEBUG | 2023-02-05 16:18:02,525 | _api.py | Lock 140229723228816 acquired on /tmp/tmpmnaidy46/vocabulary/.lock
DEBUG | 2023-02-05 16:18:02,525 | _api.py | Attempting to release lock 140229723228816 on /tmp/tmpmnaidy46/vocabulary/.lock
DEBUG | 2023-02-05 16:18:02,525 | _api.py | Lock 140229723228816 released on /tmp/tmpmnaidy46/vocabulary/.lock
INFO | 2023-02-05 16:18:02,721 | embedding.py | Loading a model trained before embedding extension was implemented; pass an explicit vocab namespace if you want to extend the vocabulary.
INFO | 2023-02-05 16:18:02,722 | embedding.py | Loading a model trained before embedding extension was implemented; pass an explicit vocab namespace if you want to extend the vocabulary.
INFO | 2023-02-05 16:18:02,722 | embedding.py | Loading a model trained before embedding extension was implemented; pass an explicit vocab namespace if you want to extend the vocabulary.
DEBUG | 2023-02-05 16:18:03,668 | local.py | open file: /home/tongnian/.cache/huggingface/metrics/bleu/default/default_experiment-1-0.arrow
DEBUG | 2023-02-05 16:18:03,669 | local.py | open file: /home/tongnian/.cache/huggingface/metrics/rouge/default/default_experiment-1-0.arrow
